TOWNID,oldpeopletotal
"('10701', '10009040')",0
"('10701', '10009050')",0
"('10701', '10009060')",0
"('10701', '10009070')",0
"('10701', '10009080')",0
"('10701', '10009090')",0
"('10701', '10009100')",0
"('10701', '10009110')",0
"('10701', '10009120')",0
"('10701', '10009130')",0
"('10701', '10009140')",0
"('10701', '10009150')",0
"('10701', '10009160')",0
"('10701', '10009170')",0
"('10701', '10009180')",0
"('10701', '10009190')",0
"('10701', '10009200')",0
"('10701', '10010010')",0
"('10701', '10010020')",0
"('10701', '10010030')",0
"('10701', '10010040')",0
"('10701', '10010050')",0
"('10701', '10010060')",0
"('10701', '10010070')",0
"('10701', '10010080')",0
"('10701', '10010090')",0
"('10701', '10010100')",0
"('10701', '10010110')",0
"('10701', '10010120')",0
"('10701', '10010130')",0
"('10701', '10010140')",0
"('10701', '10010150')",0
"('10701', '10010160')",0
"('10701', '10010170')",0
"('10701', '10010180')",0
"('10701', '10013010')",0
"('10701', '10013020')",0
"('10701', '10013030')",0
"('10701', '10013040')",0
"('10701', '10013050')",0
"('10701', '10013060')",0
"('10701', '10013070')",0
"('10701', '10013080')",0
"('10701', '10013090')",0
"('10701', '10013100')",0
"('10701', '10013110')",0
"('10701', '10013120')",0
"('10701', '10013130')",0
"('10701', '10013140')",0
"('10701', '10013150')",0
"('10701', '10013160')",0
"('10701', '10013170')",0
"('10701', '10013180')",0
"('10701', '10013190')",0
"('10701', '10013200')",0
"('10701', '10013210')",0
"('10701', '10013220')",0
"('10701', '10013230')",0
"('10701', '10013240')",0
"('10701', '10013250')",0
"('10701', '10013260')",0
"('10701', '10013270')",0
"('10701', '10013280')",0
"('10701', '10013290')",0
"('10701', '10013300')",0
"('10701', '10013310')",0
"('10701', '10013320')",0
"('10701', '10013330')",0
"('10701', '10014010')",0
"('10701', '10014020')",0
"('10701', '10014030')",0
"('10701', '10014040')",0
"('10701', '10014100')",0
"('10701', '10014090')",0
"('10701', '10014070')",0
"('10701', '10014080')",0
"('10701', '10014050')",0
"('10701', '10014060')",0
"('10701', '10014110')",0
"('10701', '10014130')",0
"('10701', '10014120')",0
"('10701', '10014150')",0
"('10701', '10014140')",0
"('10701', '10014160')",0
"('10701', '10015010')",0
"('10701', '10015020')",0
"('10701', '10015030')",0
"('10701', '10015040')",0
"('10701', '10015050')",0
"('10701', '10015060')",0
"('10701', '10015070')",0
"('10701', '10015080')",0
"('10701', '10015090')",0
"('10701', '10015100')",0
"('10701', '10015110')",0
"('10701', '10015120')",0
"('10701', '10015130')",0
"('10701', '10016010')",0
"('10701', '10016020')",0
"('10701', '10016030')",0
"('10701', '10016040')",0
"('10701', '10016050')",0
"('10701', '10016060')",0
"('10701', '10017010')",0
"('10701', '10017020')",0
"('10701', '10017030')",0
"('10701', '10017040')",0
"('10701', '10017050')",0
"('10701', '10017060')",0
"('10701', '10017070')",0
"('10701', '10018010')",0
"('10701', '10018020')",0
"('10701', '10018030')",0
"('10701', '10020010')",0
"('10701', '10020020')",0
"('10701', '09020010')",0
"('10701', '09020030')",0
"('10701', '09020020')",0
"('10701', '09020040')",0
"('10701', '09020050')",0
"('10701', '09020060')",0
"('10701', '09007010')",0
"('10701', '09007020')",0
"('10701', '09007030')",0
"('10701', '09007040')",0
"('10702', '65000010')",0
"('10702', '65000020')",0
"('10702', '65000030')",0
"('10702', '65000040')",0
"('10702', '65000050')",0
"('10702', '65000060')",0
"('10702', '65000070')",0
"('10702', '65000080')",0
"('10702', '65000090')",0
"('10702', '65000100')",0
"('10702', '65000110')",0
"('10702', '65000120')",0
"('10702', '65000130')",0
"('10702', '65000140')",0
"('10702', '65000150')",0
"('10702', '65000160')",0
"('10702', '65000170')",0
"('10702', '65000180')",0
"('10702', '65000190')",0
"('10702', '65000200')",0
"('10702', '65000210')",0
"('10702', '65000220')",0
"('10702', '65000230')",0
"('10702', '65000240')",0
"('10702', '65000250')",0
