10701,09007010,766
10701,09007020,296
10701,09007030,206
10701,09007040,104
10701,09020010,5343
10701,09020020,2901
10701,09020030,3495
10701,09020040,3335
10701,09020050,1768
10701,09020060,66
10701,10002010,13577
10701,10002020,10374
10701,10002030,7221
10701,10002040,4886
10701,10002050,5954
10701,10002060,3849
10701,10002070,5118
10701,10002080,8021
10701,10002090,6096
10701,10002100,4036
10701,10002110,564
10701,10002120,519
10701,10004010,13776
10701,10004020,12601
10701,10004030,6092
10701,10004040,5819
10701,10004050,9182
10701,10004060,5974
10701,10004070,3373
10701,10004080,2784
10701,10004090,1901
10701,10004100,2127
10701,10004110,1421
10701,10004120,777
10701,10004130,496
10701,10005010,14293
10701,10005020,7065
10701,10005030,6624
10701,10005040,9612
10701,10005050,12516
10701,10005060,6354
10701,10005070,3373
10701,10005080,2970
10701,10005090,5462
10701,10005100,3327
10701,10005110,2043
10701,10005120,2045
10701,10005130,2625
10701,10005140,1657
10701,10005150,2212
10701,10005160,1411
10701,10005170,1162
10701,10005180,780
10701,10007010,32488
10701,10007020,11552
10701,10007030,10991
10701,10007040,2277
10701,10007050,4409
10701,10007060,6620
10701,10007070,4983
10701,10007080,6031
10701,10007090,4225
10701,10007100,17091
10701,10007110,7349
10701,10007120,7235
10701,10007130,4882
10701,10007140,5649
10701,10007150,4884
10701,10007160,5538
10701,10007170,6382
10701,10007180,3398
10701,10007190,4996
10701,10007200,9272
10701,10007210,4409
10701,10007220,5348
10701,10007230,7080
10701,10007240,4112
10701,10007250,3284
10701,10007260,5692
10701,10008010,15287
10701,10008020,12956
10701,10008030,14484
10701,10008040,9881
10701,10008050,2279
10701,10008060,7003
10701,10008070,3811
10701,10008080,3249
10701,10008090,3266
10701,10008100,3705
10701,10008110,3594
10701,10008120,1801
10701,10008130,1632
10701,10009010,14555
10701,10009020,7510
10701,10009030,10543
10701,10009040,8025
10701,10009050,5474
10701,10009060,7477
10701,10009070,6448
10701,10009080,3918
10701,10009090,5048
10701,10009100,3252
10701,10009110,5934
10701,10009120,5048
10701,10009130,5106
10701,10009140,3259
10701,10009150,2560
10701,10009160,4586
10701,10009170,6103
10701,10009180,5126
10701,10009190,5190
10701,10009200,6211
10701,10010010,4909
10701,10010020,7436
10701,10010030,5397
10701,10010040,6394
10701,10010050,10412
10701,10010060,3422
10701,10010070,6432
10701,10010080,5918
10701,10010090,5611
10701,10010100,4552
10701,10010110,3866
10701,10010120,8103
10701,10010130,7324
10701,10010140,6775
10701,10010150,4283
10701,10010160,2188
10701,10010170,712
10701,10010180,800
10701,10013010,29473
10701,10013020,8109
10701,10013030,6365
10701,10013040,4324
10701,10013050,7647
10701,10013060,4783
10701,10013070,2095
10701,10013080,3334
10701,10013090,4301
10701,10013100,4130
10701,10013110,5604
10701,10013120,3835
10701,10013130,9382
10701,10013140,3372
10701,10013150,2011
10701,10013160,4526
10701,10013170,5596
10701,10013180,2213
10701,10013190,3534
10701,10013200,2186
10701,10013210,3931
10701,10013220,1808
10701,10013230,1805
10701,10013240,1382
10701,10013250,992
10701,10013260,805
10701,10013270,454
10701,10013280,735
10701,10013290,505
10701,10013300,789
